id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6645.662380920297;[23, 29, 32, 46, 48, 12, 14, 50, 44, 19, 24, 25, 37, 22, 28, 33, 43, 20, 15, 30, 38, 39, 1, 11, 49, 6, 36, 45, 47, 40, 42, 17, 21, 34, 31, 26, 9, 18, 10, 3, 41, 4, 13, 2, 7, 5, 27, 16, 8, 35];38;289;313;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6627.076225852689;[46, 48, 12, 44, 50, 14, 19, 25, 15, 40, 34, 33, 24, 20, 30, 43, 31, 10, 23, 32, 28, 37, 49, 38, 1, 29, 39, 22, 6, 21, 36, 11, 41, 47, 3, 9, 17, 26, 45, 18, 42, 4, 2, 7, 13, 5, 27, 16, 8, 35];28;228;331;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6540.858652752768;[46, 12, 48, 32, 34, 29, 23, 43, 33, 44, 50, 14, 19, 24, 25, 37, 20, 15, 49, 1, 39, 38, 30, 40, 28, 22, 6, 26, 10, 17, 31, 36, 21, 11, 41, 42, 45, 18, 47, 3, 9, 4, 13, 7, 2, 5, 16, 27, 8, 35];590;153;253;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
4;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5953.912087601501;[42, 43, 20, 3, 47, 5, 4, 38, 44, 19, 36, 11, 1, 49, 39, 27, 15, 18, 25, 23, 33, 17, 32, 12, 37, 9, 40, 41, 26, 31, 45, 7, 29, 21, 46, 22, 6, 16, 10, 48, 30, 8, 35, 13, 28, 34, 24, 2, 50, 14];38;226;246;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
5;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5933.364113230862;[47, 3, 5, 44, 16, 41, 43, 19, 20, 36, 1, 42, 11, 4, 38, 39, 27, 15, 18, 25, 33, 23, 17, 12, 9, 37, 46, 26, 31, 45, 49, 32, 29, 30, 7, 21, 22, 40, 10, 6, 48, 35, 8, 28, 24, 13, 2, 34, 50, 14];10;55;312;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5865.512401944747;[47, 3, 5, 44, 49, 11, 36, 19, 42, 43, 41, 4, 38, 39, 27, 31, 1, 15, 25, 18, 26, 32, 33, 23, 17, 46, 16, 20, 6, 45, 12, 9, 40, 30, 48, 29, 37, 21, 10, 22, 7, 35, 8, 28, 34, 13, 24, 2, 50, 14];248;86;340;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
7;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9681.569133825775;[34, 27, 32, 14, 25, 29, 5, 17, 33, 31, 16, 24, 40, 19, 37, 4, 10, 9, 12, 1, 49, 28, 46, 39, 22, 26, 30, 11, 8, 20, 47, 35, 21, 3, 48, 7, 18, 43, 23, 41, 15, 13, 44, 38, 2, 6, 45, 42, 36, 50];37;228;258;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
8;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9706.744396086431;[29, 5, 32, 8, 16, 17, 25, 27, 40, 19, 12, 47, 14, 34, 30, 31, 10, 37, 9, 1, 26, 33, 21, 22, 39, 20, 4, 49, 11, 28, 46, 48, 35, 24, 3, 7, 23, 43, 18, 41, 15, 44, 13, 38, 2, 45, 6, 36, 50, 42];24;125;215;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
9;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9574.121959484339;[33, 31, 4, 5, 34, 25, 24, 16, 29, 32, 40, 17, 30, 3, 27, 19, 10, 37, 47, 8, 12, 9, 1, 39, 14, 49, 46, 28, 35, 48, 20, 21, 11, 7, 23, 18, 43, 26, 22, 41, 15, 44, 13, 38, 45, 6, 2, 42, 50, 36];1006;210;211;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
10;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5479.85334567994;[34, 27, 6, 20, 50, 17, 48, 5, 38, 8, 18, 2, 30, 23, 41, 33, 22, 40, 43, 32, 14, 15, 49, 13, 4, 29, 10, 37, 35, 42, 1, 47, 45, 16, 28, 3, 11, 36, 21, 44, 31, 46, 19, 12, 7, 24, 9, 26, 39, 25];28;153;233;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
11;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5534.7064882546165;[50, 17, 10, 18, 20, 45, 22, 27, 6, 34, 2, 43, 33, 29, 5, 32, 14, 15, 49, 13, 35, 23, 41, 40, 48, 30, 37, 42, 4, 1, 28, 47, 11, 3, 31, 36, 38, 8, 21, 44, 16, 46, 19, 7, 12, 26, 9, 24, 39, 25];40;199;208;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
12;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5397.900992868165;[32, 18, 33, 48, 20, 5, 17, 45, 50, 8, 10, 43, 6, 23, 2, 30, 40, 41, 22, 38, 27, 34, 29, 14, 15, 49, 13, 37, 42, 28, 1, 47, 3, 4, 35, 44, 21, 16, 31, 36, 11, 46, 19, 12, 7, 9, 24, 26, 39, 25];1005;210;211;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
13;1.5;50;0.5;0.5;4;0;11;100000;[[1, 30], [2, 60], [2, 725], [2, 60], [2, 275], [1, 40], [2, 350], [2, 50], [2, 40], [1, 100], [1, 650], [1, 40], [2, 800], [1, 90], [2, 40], [1, 30], [1, 70], [1, 875], [2, 70], [2, 50], [1, 100], [2, 875], [1, 70], [1, 575], [2, 20], [1, 425], [1, 875], [1, 10], [1, 200], [2, 800], [1, 875], [2, 90], [2, 650], [1, 275], [2, 90], [2, 275], [1, 800], [2, 725], [2, 10], [1, 875], [2, 60], [1, 60], [1, 20], [1, 425], [1, 20], [1, 90], [2, 40], [1, 275], [1, 425], [2, 60]];3672.0961995966136;3835.47734137722;[39, 25, 8, 45, 28, 43, 46, 1, 12, 17, 10, 47, 2, 23, 14, 6, 16, 42, 21, 9, 20, 41, 4, 50, 19, 35, 32, 34, 48, 15, 36, 11, 29, 49, 5, 27, 44, 40, 37, 26, 18, 24, 31, 7, 33, 38, 3, 30, 13, 22];19;105;237;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
14;1.5;50;0.5;0.5;4;0;11;100000;[[1, 30], [2, 60], [2, 725], [2, 60], [2, 275], [1, 40], [2, 350], [2, 50], [2, 40], [1, 100], [1, 650], [1, 40], [2, 800], [1, 90], [2, 40], [1, 30], [1, 70], [1, 875], [2, 70], [2, 50], [1, 100], [2, 875], [1, 70], [1, 575], [2, 20], [1, 425], [1, 875], [1, 10], [1, 200], [2, 800], [1, 875], [2, 90], [2, 650], [1, 275], [2, 90], [2, 275], [1, 800], [2, 725], [2, 10], [1, 875], [2, 60], [1, 60], [1, 20], [1, 425], [1, 20], [1, 90], [2, 40], [1, 275], [1, 425], [2, 60]];3672.0961995966136;3835.646449137302;[25, 23, 1, 28, 43, 9, 21, 42, 39, 15, 6, 46, 17, 47, 20, 8, 4, 34, 16, 29, 14, 45, 10, 50, 41, 12, 2, 19, 35, 32, 11, 48, 26, 44, 24, 31, 49, 36, 5, 18, 37, 40, 27, 7, 33, 38, 3, 13, 30, 22];28;151;223;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
15;1.5;50;0.5;0.5;4;0;11;100000;[[1, 30], [2, 60], [2, 725], [2, 60], [2, 275], [1, 40], [2, 350], [2, 50], [2, 40], [1, 100], [1, 650], [1, 40], [2, 800], [1, 90], [2, 40], [1, 30], [1, 70], [1, 875], [2, 70], [2, 50], [1, 100], [2, 875], [1, 70], [1, 575], [2, 20], [1, 425], [1, 875], [1, 10], [1, 200], [2, 800], [1, 875], [2, 90], [2, 650], [1, 275], [2, 90], [2, 275], [1, 800], [2, 725], [2, 10], [1, 875], [2, 60], [1, 60], [1, 20], [1, 425], [1, 20], [1, 90], [2, 40], [1, 275], [1, 425], [2, 60]];3672.0961995966136;3762.309168982852;[39, 1, 45, 6, 16, 25, 12, 21, 17, 28, 43, 9, 46, 23, 42, 14, 15, 47, 8, 20, 4, 2, 41, 50, 19, 32, 35, 10, 29, 34, 49, 48, 44, 24, 26, 5, 36, 7, 18, 40, 37, 11, 27, 31, 33, 38, 3, 30, 13, 22];127;31;212;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
16;1.5;50;0.5;0.5;5;0;11;100000;[[2, 800], [1, 20], [1, 60], [1, 350], [2, 275], [1, 80], [2, 100], [1, 575], [1, 200], [2, 875], [2, 800], [1, 40], [1, 350], [2, 10], [2, 575], [2, 575], [1, 20], [2, 725], [2, 20], [2, 725], [2, 80], [2, 60], [1, 500], [2, 20], [2, 20], [1, 90], [2, 30], [2, 80], [2, 800], [2, 725], [1, 30], [2, 425], [2, 40], [2, 350], [2, 30], [1, 70], [2, 875], [2, 30], [1, 100], [1, 200], [1, 875], [2, 800], [1, 425], [2, 875], [2, 425], [2, 650], [2, 350], [1, 40], [2, 80], [1, 425]];11179.860765561674;11330.2417840182;[19, 24, 25, 6, 12, 31, 17, 33, 21, 48, 26, 2, 3, 39, 14, 35, 38, 27, 22, 49, 28, 7, 9, 23, 36, 13, 43, 41, 50, 40, 8, 4, 5, 34, 47, 32, 45, 15, 16, 46, 18, 30, 20, 42, 1, 11, 29, 44, 37, 10];30;181;261;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
17;1.5;50;0.5;0.5;5;0;11;100000;[[2, 800], [1, 20], [1, 60], [1, 350], [2, 275], [1, 80], [2, 100], [1, 575], [1, 200], [2, 875], [2, 800], [1, 40], [1, 350], [2, 10], [2, 575], [2, 575], [1, 20], [2, 725], [2, 20], [2, 725], [2, 80], [2, 60], [1, 500], [2, 20], [2, 20], [1, 90], [2, 30], [2, 80], [2, 800], [2, 725], [1, 30], [2, 425], [2, 40], [2, 350], [2, 30], [1, 70], [2, 875], [2, 30], [1, 100], [1, 200], [1, 875], [2, 800], [1, 425], [2, 875], [2, 425], [2, 650], [2, 350], [1, 40], [2, 80], [1, 425]];11179.860765561674;11373.341939766193;[14, 17, 2, 25, 19, 24, 38, 27, 9, 12, 33, 28, 39, 22, 36, 3, 21, 35, 49, 7, 50, 43, 13, 31, 40, 26, 4, 23, 48, 6, 8, 41, 5, 34, 47, 45, 32, 16, 15, 46, 18, 20, 30, 1, 42, 11, 29, 10, 44, 37];29;163;238;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
18;1.5;50;0.5;0.5;5;0;11;100000;[[2, 800], [1, 20], [1, 60], [1, 350], [2, 275], [1, 80], [2, 100], [1, 575], [1, 200], [2, 875], [2, 800], [1, 40], [1, 350], [2, 10], [2, 575], [2, 575], [1, 20], [2, 725], [2, 20], [2, 725], [2, 80], [2, 60], [1, 500], [2, 20], [2, 20], [1, 90], [2, 30], [2, 80], [2, 800], [2, 725], [1, 30], [2, 425], [2, 40], [2, 350], [2, 30], [1, 70], [2, 875], [2, 30], [1, 100], [1, 200], [1, 875], [2, 800], [1, 425], [2, 875], [2, 425], [2, 650], [2, 350], [1, 40], [2, 80], [1, 425]];11179.860765561674;11277.335214551116;[14, 6, 2, 17, 31, 48, 24, 25, 19, 38, 35, 27, 3, 12, 26, 36, 33, 22, 21, 49, 28, 7, 40, 50, 9, 39, 13, 4, 43, 23, 8, 41, 5, 34, 47, 32, 45, 16, 15, 46, 30, 20, 18, 1, 42, 29, 11, 44, 37, 10];170;44;244;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
19;1.5;50;0.5;0.5;6;0;11;100000;[[1, 40], [2, 10], [2, 50], [1, 100], [1, 800], [2, 425], [2, 70], [2, 725], [2, 200], [1, 200], [1, 100], [2, 575], [1, 30], [2, 10], [1, 80], [2, 350], [2, 30], [2, 575], [2, 50], [2, 650], [2, 575], [2, 10], [2, 50], [1, 60], [2, 70], [1, 800], [2, 30], [2, 90], [2, 90], [2, 725], [1, 60], [1, 20], [2, 800], [2, 20], [2, 725], [1, 800], [1, 800], [1, 875], [2, 500], [2, 800], [1, 70], [1, 800], [2, 30], [2, 50], [1, 800], [1, 200], [1, 100], [2, 60], [2, 50], [1, 60]];5868.302006944241;6067.151418367923;[22, 2, 14, 34, 17, 43, 27, 23, 50, 44, 10, 32, 31, 24, 41, 1, 47, 13, 15, 4, 11, 19, 49, 3, 48, 25, 7, 28, 29, 9, 37, 5, 26, 36, 42, 45, 46, 38, 16, 6, 39, 12, 18, 21, 20, 8, 30, 35, 40, 33];19;115;260;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
20;1.5;50;0.5;0.5;6;0;11;100000;[[1, 40], [2, 10], [2, 50], [1, 100], [1, 800], [2, 425], [2, 70], [2, 725], [2, 200], [1, 200], [1, 100], [2, 575], [1, 30], [2, 10], [1, 80], [2, 350], [2, 30], [2, 575], [2, 50], [2, 650], [2, 575], [2, 10], [2, 50], [1, 60], [2, 70], [1, 800], [2, 30], [2, 90], [2, 90], [2, 725], [1, 60], [1, 20], [2, 800], [2, 20], [2, 725], [1, 800], [1, 800], [1, 875], [2, 500], [2, 800], [1, 70], [1, 800], [2, 30], [2, 50], [1, 800], [1, 200], [1, 100], [2, 60], [2, 50], [1, 60]];5868.302006944241;6087.316335746432;[14, 22, 2, 34, 43, 17, 46, 50, 13, 32, 1, 15, 4, 27, 49, 44, 23, 3, 19, 48, 7, 25, 29, 28, 5, 24, 11, 9, 41, 6, 42, 36, 10, 37, 45, 47, 38, 26, 31, 16, 39, 18, 12, 21, 20, 30, 35, 8, 40, 33];10;59;241;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
21;1.5;50;0.5;0.5;6;0;11;100000;[[1, 40], [2, 10], [2, 50], [1, 100], [1, 800], [2, 425], [2, 70], [2, 725], [2, 200], [1, 200], [1, 100], [2, 575], [1, 30], [2, 10], [1, 80], [2, 350], [2, 30], [2, 575], [2, 50], [2, 650], [2, 575], [2, 10], [2, 50], [1, 60], [2, 70], [1, 800], [2, 30], [2, 90], [2, 90], [2, 725], [1, 60], [1, 20], [2, 800], [2, 20], [2, 725], [1, 800], [1, 800], [1, 875], [2, 500], [2, 800], [1, 70], [1, 800], [2, 30], [2, 50], [1, 800], [1, 200], [1, 100], [2, 60], [2, 50], [1, 60]];5868.302006944241;5992.744172113063;[14, 2, 22, 34, 1, 31, 24, 32, 15, 50, 27, 17, 43, 41, 11, 13, 23, 49, 3, 44, 19, 48, 25, 7, 28, 29, 37, 4, 9, 16, 36, 42, 45, 5, 47, 46, 10, 38, 26, 6, 39, 21, 18, 12, 20, 30, 8, 35, 40, 33];142;37;238;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
22;1.5;50;0.5;0.5;7;0;11;100000;[[1, 275], [1, 60], [2, 100], [2, 200], [1, 500], [2, 50], [2, 90], [1, 90], [2, 20], [1, 875], [1, 800], [1, 350], [1, 30], [2, 575], [2, 50], [2, 500], [1, 275], [2, 875], [1, 100], [1, 20], [1, 30], [2, 60], [1, 425], [2, 875], [1, 90], [2, 500], [1, 350], [2, 100], [2, 90], [1, 10], [1, 725], [2, 90], [1, 80], [1, 20], [1, 70], [1, 70], [1, 40], [2, 350], [2, 50], [2, 275], [1, 60], [1, 875], [2, 40], [1, 425], [2, 80], [1, 875], [2, 10], [2, 60], [2, 100], [1, 425]];2579.9600073569086;2714.097677719452;[47, 9, 22, 33, 30, 20, 13, 6, 39, 21, 15, 37, 35, 36, 41, 8, 34, 2, 19, 43, 48, 45, 7, 32, 29, 49, 3, 28, 4, 1, 10, 23, 17, 27, 12, 5, 25, 40, 44, 42, 50, 31, 38, 46, 11, 16, 26, 14, 18, 24];29;168;235;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.0;true
23;1.5;50;0.5;0.5;7;0;11;100000;[[1, 275], [1, 60], [2, 100], [2, 200], [1, 500], [2, 50], [2, 90], [1, 90], [2, 20], [1, 875], [1, 800], [1, 350], [1, 30], [2, 575], [2, 50], [2, 500], [1, 275], [2, 875], [1, 100], [1, 20], [1, 30], [2, 60], [1, 425], [2, 875], [1, 90], [2, 500], [1, 350], [2, 100], [2, 90], [1, 10], [1, 725], [2, 90], [1, 80], [1, 20], [1, 70], [1, 70], [1, 40], [2, 350], [2, 50], [2, 275], [1, 60], [1, 875], [2, 40], [1, 425], [2, 80], [1, 875], [2, 10], [2, 60], [2, 100], [1, 425]];2579.9600073569086;2730.9596370083686;[47, 9, 21, 20, 13, 37, 30, 19, 41, 2, 35, 43, 39, 33, 3, 36, 15, 6, 22, 48, 45, 29, 7, 28, 17, 8, 34, 32, 49, 4, 40, 1, 50, 25, 31, 12, 44, 42, 27, 11, 23, 46, 5, 10, 38, 16, 26, 14, 24, 18];32;161;222;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.0;true
